chain_name,product_family,brand_flavor,store_state,week_ending,brand_units_per_package,package_sales,dollar_sales,selling_stores
Retailer A,Brand Three,Flavored,NJ,2019-10-26,2,8244.000000,82357.560000,245
Retailer C,Brand Two,Classic,OK,2019-11-02,2,96.000000,1288.040000,47
Retailer A,Brand One,Flavored,FL,2019-11-16,4,4919.000000,88492.810000,199
Retailer A,Brand Three,Flavored,VA,2020-01-18,2,3660.000000,36563.400000,89
Retailer C,Brand Two,Mint,TX,2019-10-05,2,98.000000,1315.020000,60
Retailer C,Brand One,Classic,TX,2019-09-21,2,66.000000,659.340000,66
Retailer A,Brand One,Mint,VA,2019-10-19,4,382.000000,6872.180000,85
Retailer A,Brand Three,Mint,DE,2019-10-12,2,649.000000,6483.510000,40
Retailer A,Brand One,Classic,PA,2020-01-25,4,3374.000000,74194.260000,211
Retailer A,Brand One,Mint,VA,2019-10-26,4,409.000000,7357.910000,85
Retailer B,Brand One,Mint,MO,2019-09-07,2,68.000000,679.320000,68
Retailer B,Brand One,Flavored,OK,2019-12-28,2,549.000000,5484.510000,45
Retailer A,Brand One,Mint,PA,2019-11-23,4,1060.000000,23309.400000,204
Retailer A,Brand Two,Classic,FL,2019-09-21,2,515.000000,6771.230000,188
Retailer A,Brand Two,Classic,MD,2019-11-30,2,326.000000,4373.240000,52
Retailer C,Brand One,Classic,TX,2019-12-14,2,91.000000,909.090000,62
Retailer A,Brand One,Mint,FL,2019-11-30,4,1803.000000,32435.970000,199
Retailer B,Brand Two,Classic,IA,2020-02-01,2,344.000000,4003.660000,104
Retailer C,Brand One,Mint,TX,2019-10-12,4,99.000000,1583.010000,68
Retailer C,Brand One,Classic,OK,2020-01-11,2,153.000000,1412.410000,47
Retailer A,Brand Three,Mint,NJ,2020-02-01,2,5996.000000,59900.040000,253
Retailer C,Brand One,Classic,OK,2019-04-20,4,362.000000,5788.380000,47
Retailer C,Brand One,Flavored,TX,2019-02-23,2,650.000000,6495.980000,69
Retailer A,Brand Two,Flavored,DE,2019-03-02,2,83.000000,1119.670000,36
Retailer B,Brand Two,Classic,SD,2019-01-19,2,1.000000,13.490000,4
Retailer A,Brand Three,Classic,MD,2019-03-23,2,203.000000,2027.970000,51
Retailer B,Brand Three,Classic,WY,2019-04-27,2,17.000000,169.830000,13
Retailer B,Brand One,Mint,IA,2019-05-04,2,117.000000,1168.830000,99
Retailer A,Brand One,Classic,MD,2019-08-10,4,563.000000,10128.370000,50
Retailer C,Brand One,Mint,NM,2019-08-17,2,82.000000,983.180000,72
Retailer A,Brand Two,Mint,NJ,2019-06-01,2,473.000000,6564.770000,181
Retailer B,Brand One,Classic,MO,2019-07-13,2,155.000000,1548.450000,68
Retailer B,Brand One,Classic,WY,2019-06-01,4,60.000000,959.400000,17
Retailer C,Brand One,Classic,OK,2019-08-17,4,311.000000,4972.890000,47
Retailer A,Brand One,Mint,MD,2019-08-03,2,149.000000,1786.510000,50
Retailer B,Brand Three,Flavored,MO,2019-09-28,2,3163.000000,31589.140000,68
Retailer B,Brand One,Classic,AR,2019-10-05,4,286.000000,4573.140000,49
Retailer C,Brand Two,Mint,TX,2019-11-30,2,197.000000,2657.530000,67
Retailer A,Brand One,Mint,FL,2019-12-07,2,423.000000,5071.770000,199
Retailer B,Brand One,Mint,WY,2020-01-11,4,186.000000,2974.140000,17
Retailer B,Brand One,Mint,AR,2019-11-02,2,92.000000,919.080000,49
Retailer A,Brand One,Flavored,PA,2020-01-18,4,0.000000,0.000000,204
Retailer B,Brand One,Classic,IA,2020-01-11,4,699.000000,11177.010000,103
Retailer A,Brand Two,Mint,NJ,2020-03-07,2,2984.000000,42518.880000,251
Retailer C,Brand Three,Classic,OK,2019-11-09,2,174.000000,1738.260000,47
Retailer A,Brand One,Classic,FL,2020-03-21,4,2030.000000,36519.700000,202
Retailer B,Brand One,Mint,ND,2019-03-02,4,27.000000,431.730000,9
Retailer B,Brand Two,Mint,MO,2019-01-05,2,21.000000,283.290000,36
Retailer B,Brand One,Classic,NE,2019-04-13,4,112.000000,1790.880000,19
Retailer B,Brand Three,Mint,CO,2019-05-04,2,143.000000,1428.570000,62
Retailer B,Brand One,Flavored,CO,2019-06-01,4,3249.000000,51951.510000,65
Retailer B,Brand Three,Mint,ND,2019-05-04,2,30.000000,299.700000,9
Retailer B,Brand Two,Mint,MO,2020-01-25,2,290.000000,3819.590000,66
Retailer B,Brand Three,Mint,MO,2020-01-04,2,414.000000,4134.320000,66
Retailer B,Brand Three,Mint,NE,2019-09-07,2,50.000000,499.500000,16
Retailer A,Brand Three,Classic,PA,2020-03-28,2,2856.000000,34239.480000,225
Retailer A,Brand Two,Mint,MD,2020-04-04,2,1910.000000,25765.900000,52
Retailer A,Brand One,Mint,FL,2020-02-15,2,896.000000,10743.040000,197
Retailer A,Brand Two,Flavored,DE,2019-03-16,2,82.000000,1106.180000,36
Retailer A,Brand One,Mint,MD,2019-04-06,2,43.000000,515.570000,23
Retailer C,Brand One,Classic,OK,2019-08-03,4,302.000000,4828.980000,47
Retailer B,Brand One,Flavored,ND,2019-06-01,4,449.000000,7179.510000,10
Retailer C,Brand Two,Flavored,NM,2019-08-10,2,60.000000,901.200000,52
Retailer C,Brand Two,Classic,TX,2019-08-10,2,33.000000,368.170000,44
Retailer C,Brand One,Classic,TX,2019-08-24,4,130.000000,2078.700000,70
Retailer B,Brand One,Flavored,CO,2019-07-27,2,632.000000,6313.680000,64
Retailer A,Brand One,Flavored,FL,2020-01-11,2,0.000000,0.000000,17
Retailer B,Brand Three,Flavored,CO,2019-03-16,2,511.000000,5104.890000,63
Retailer C,Brand Two,Classic,OK,2019-03-30,2,78.000000,1045.460000,46
Retailer B,Brand One,Flavored,OK,2019-03-09,2,178.000000,1778.220000,47
Retailer B,Brand One,Flavored,NE,2019-05-11,2,199.000000,1988.010000,19
Retailer A,Brand Two,Flavored,MD,2019-02-09,2,171.000000,2295.310000,51
Retailer B,Brand One,Mint,ND,2019-03-16,4,40.000000,639.600000,9
Retailer B,Brand Three,Mint,MO,2019-10-19,2,558.000000,5574.420000,66
Retailer B,Brand Three,Flavored,AR,2019-07-20,2,3839.000000,38351.610000,49
Retailer B,Brand Three,Flavored,MN,2019-08-31,2,13.000000,233.870000,2
Retailer B,Brand Two,Mint,OK,2019-12-21,2,62.000000,804.920000,46
Retailer C,Brand Two,Mint,OK,2019-11-09,2,161.000000,2169.300000,45
Retailer C,Brand One,Flavored,TX,2020-03-28,4,0.000000,0.000000,67
Retailer A,Brand One,Flavored,DE,2019-08-10,2,484.000000,5803.160000,40
Retailer B,Brand One,Classic,WY,2020-01-18,4,96.000000,1535.040000,17
Retailer B,Brand One,Mint,CO,2020-01-25,4,1411.000000,22561.890000,67
Retailer A,Brand Three,Flavored,NJ,2020-05-09,2,,,246
Retailer B,Brand Two,Flavored,IA,2020-05-16,2,,,85
Retailer B,Brand One,Mint,MO,2020-02-29,4,1406.000000,22481.940000,68
Retailer B,Brand Three,Classic,WY,2019-08-24,2,30.000000,299.700000,17
Retailer A,Brand Two,Flavored,MD,2020-02-22,2,10.000000,134.900000,45
Retailer B,Brand One,Mint,SD,2019-08-10,2,5.000000,49.950000,9
Retailer B,Brand One,Mint,ND,2019-05-18,2,11.000000,109.890000,10
Retailer C,Brand One,Classic,OK,2020-02-22,4,430.000000,6875.700000,47
Retailer C,Brand One,Classic,CO,2020-02-22,2,780.000000,7792.200000,182
Retailer B,Brand Two,Classic,SD,2020-03-28,2,20.000000,252.300000,9
Retailer A,Brand Two,Mint,DE,2020-04-18,2,1281.000000,17274.280000,44
Retailer B,Brand Three,Classic,NE,2019-12-07,2,15.000000,149.850000,17
Retailer B,Brand Two,Classic,NE,2020-02-01,2,55.000000,671.970000,18
Retailer A,Brand Two,Classic,MD,2020-03-21,2,555.000000,7469.450000,52
Retailer A,Brand Three,Flavored,DE,2020-05-16,2,,,40
Retailer A,Brand One,Mint,PA,2020-04-18,2,1891.000000,27022.390000,198
Retailer B,Brand One,Flavored,AR,2020-02-22,4,0.000000,0.000000,48
Retailer A,Brand One,Mint,FL,2020-04-04,4,1867.000000,33587.330000,202
Retailer B,Brand One,Mint,WY,2020-01-18,4,215.000000,3437.850000,17
Retailer C,Brand Three,Classic,OK,2019-12-28,2,187.000000,1868.130000,47
Retailer A,Brand One,Mint,PA,2020-05-09,4,6452.000000,141879.480000,212
Retailer C,Brand One,Mint,CO,2020-05-02,2,1373.000000,13716.270000,180
Retailer A,Brand Two,Mint,DC,2019-05-04,2,0.000000,0.000000,2
Retailer C,Brand Two,Mint,NM,2020-04-25,2,307.000000,4611.140000,75
Retailer B,Brand Three,Flavored,WY,2020-03-28,2,,,14
Retailer C,Brand Two,Classic,NM,2020-03-28,2,234.000000,3408.150000,76
Retailer B,Brand One,Flavored,MT,2019-10-19,2,2.000000,19.980000,1
Retailer B,Brand Three,Flavored,AR,2020-02-22,2,,,36
Retailer C,Brand Two,Flavored,OK,2020-04-11,2,,,19
Retailer B,Brand One,Mint,WY,2020-02-08,2,75.000000,749.250000,17
Retailer C,Brand One,Flavored,TX,2020-05-16,4,,,67
Retailer A,Brand One,Classic,MD,2020-05-30,2,125.000000,1498.750000,50
Retailer A,Brand One,Mint,MD,2020-04-18,4,1687.000000,30349.130000,51
Retailer B,Brand One,Classic,OK,2020-05-02,2,150.000000,1359.040000,47
Retailer C,Brand One,Mint,NM,2020-06-20,4,773.000000,15452.270000,77
Retailer B,Brand Two,Classic,CO,2020-08-08,2,712.000000,8504.870000,69
Retailer A,Brand One,Mint,NJ,2020-08-15,4,,,234
Retailer A,Brand Two,Mint,VA,2020-09-05,2,2943.000000,29352.940000,88
Retailer A,Brand One,Flavored,FL,2020-07-04,4,,,179
Retailer B,Brand Three,Mint,CO,2020-06-20,2,2438.000000,24355.620000,69
Retailer B,Brand One,Mint,AR,2020-04-04,4,1801.000000,28797.990000,49
Retailer A,Brand One,Flavored,PA,2020-06-27,2,,,206
Retailer C,Brand One,Classic,NM,2020-06-27,2,150.000000,1798.500000,75
Retailer A,Brand One,Mint,PA,2020-07-11,2,1320.000000,18862.800000,200
Retailer B,Brand Three,Flavored,MO,2020-05-30,2,,,67
Retailer A,Brand Three,Flavored,FL,2020-06-13,2,,,175
Retailer B,Brand Three,Classic,CO,2020-07-18,2,680.000000,6793.200000,69
Retailer C,Brand Three,Mint,NM,2020-05-16,2,791.000000,9484.090000,77
Retailer B,Brand One,Mint,IA,2020-05-16,2,653.000000,6523.470000,105
Retailer B,Brand One,Mint,IA,2020-06-20,2,581.000000,5804.190000,103
Retailer B,Brand Three,Mint,AR,2020-08-22,2,3159.000000,31538.280000,50
Retailer A,Brand One,Classic,DE,2020-08-15,4,636.000000,11441.640000,42
Retailer C,Brand One,Flavored,CO,2020-08-22,2,,,172
Retailer A,Brand Three,Flavored,FL,2020-07-04,2,,,183
Retailer A,Brand Two,Classic,FL,2020-08-22,2,2400.000000,19068.940000,205
Retailer B,Brand One,Mint,MO,2020-10-10,4,1748.000000,27950.520000,68
Retailer A,Brand Two,Flavored,PA,2020-07-11,2,,,131
Retailer C,Brand One,Flavored,CO,2020-09-19,4,,,179
Retailer A,Brand One,Classic,MD,2020-06-27,4,593.000000,10668.070000,51
Retailer A,Brand One,Mint,FL,2020-11-07,4,3085.000000,55499.150000,212
Retailer C,Brand Three,Mint,NM,2020-06-20,2,761.000000,9124.390000,77
Retailer A,Brand One,Classic,DC,2020-07-18,4,15.000000,449.850000,4
Retailer C,Brand One,Mint,TX,2020-07-04,2,297.000000,2967.030000,71
Retailer B,Brand Two,Flavored,WY,2020-07-18,2,,,12
Retailer A,Brand One,Mint,DE,2020-07-18,4,1664.000000,29935.360000,42
Retailer A,Brand One,Mint,FL,2020-08-22,4,2751.000000,49490.490000,203
Retailer A,Brand Two,Classic,NJ,2020-09-26,2,4468.000000,53571.320000,253
Retailer B,Brand Three,Mint,MT,2019-06-29,2,1.000000,9.990000,1
Retailer B,Brand Three,Flavored,MT,2019-09-21,2,23.000000,229.770000,1
Retailer B,Brand One,Flavored,SD,2019-04-27,4,262.000000,4189.380000,9
Retailer B,Brand One,Flavored,ND,2019-12-21,2,210.000000,2097.900000,9
Retailer B,Brand Three,Mint,CO,2020-05-16,2,2378.000000,23756.220000,68
Retailer B,Brand Two,Mint,SD,2019-03-16,2,6.000000,80.940000,8
Retailer B,Brand One,Mint,MT,2019-11-23,2,9.000000,89.910000,1
Retailer A,Brand Three,Classic,PA,2020-05-16,2,3346.000000,40118.540000,234
Retailer B,Brand One,Flavored,SD,2020-04-18,2,,,9
Retailer B,Brand Two,Mint,ND,2020-02-08,2,46.000000,611.080000,9
Retailer C,Brand One,Mint,OK,2020-04-11,2,251.000000,2507.490000,47
Retailer B,Brand Three,Mint,CO,2020-03-28,2,1785.000000,17831.150000,67
Retailer C,Brand One,Classic,NM,2019-03-16,4,250.000000,4001.500000,77
Retailer C,Brand One,Flavored,NM,2019-04-20,2,542.000000,5414.580000,72
Retailer C,Brand One,Classic,CO,2019-01-19,4,1028.000000,20549.720000,177
Retailer B,Brand One,Flavored,AR,2019-03-23,4,2890.000000,46211.100000,48
Retailer A,Brand Three,Mint,VA,2019-05-11,2,743.000000,7422.570000,87
Retailer B,Brand One,Classic,MO,2019-03-30,4,328.000000,5244.720000,70
Retailer B,Brand One,Flavored,CO,2019-03-02,4,3007.000000,48067.940000,65
Retailer C,Brand One,Flavored,TX,2019-02-09,4,1065.000000,17069.470000,71
Retailer B,Brand One,Classic,AR,2019-02-23,4,278.000000,4445.220000,47
Retailer A,Brand One,Flavored,PA,2019-03-16,4,10950.000000,240790.500000,204
Retailer B,Brand One,Classic,AR,2019-01-26,4,279.000000,4461.210000,48
Retailer A,Brand Two,Classic,MD,2019-02-23,2,97.000000,1308.530000,51
Retailer B,Brand One,Flavored,ND,2019-03-16,4,398.000000,6364.020000,10
Retailer B,Brand One,Mint,IA,2019-02-09,2,132.000000,1318.680000,86
Retailer A,Brand Two,Mint,DE,2019-02-09,2,73.000000,984.770000,36
Retailer B,Brand One,Mint,AR,2019-02-02,4,189.000000,3022.110000,47
Retailer A,Brand Three,Flavored,NJ,2019-01-19,2,1877.000000,18743.230000,234
Retailer B,Brand One,Flavored,NE,2019-02-16,2,179.000000,1788.210000,19
Retailer A,Brand Two,Flavored,NJ,2019-05-04,2,352.000000,4875.040000,183
Retailer B,Brand One,Classic,AR,2019-04-20,4,277.000000,4429.230000,48
Retailer B,Brand Two,Mint,CO,2019-05-04,2,138.000000,1861.620000,64
Retailer C,Brand Two,Mint,CO,2019-02-02,2,175.000000,2360.750000,155
Retailer A,Brand Three,Flavored,DE,2019-02-09,2,711.000000,7102.890000,40
Retailer B,Brand One,Flavored,OK,2019-05-18,4,1155.000000,18468.450000,48
Retailer A,Brand Three,Flavored,FL,2019-03-30,2,5408.000000,54013.980000,168
Retailer B,Brand Two,Flavored,MO,2019-01-05,2,44.000000,591.560000,58
Retailer A,Brand Three,Mint,VA,2019-03-02,2,471.000000,4705.290000,87
Retailer A,Brand Two,Mint,NJ,2019-03-16,2,362.000000,5029.430000,170
Retailer B,Brand Two,Classic,SD,2019-02-09,2,1.000000,13.490000,6
Retailer A,Brand One,Flavored,VA,2019-06-01,4,2153.000000,38732.470000,85
Retailer B,Brand One,Classic,SD,2019-07-06,2,8.000000,79.920000,9
Retailer A,Brand Three,Classic,NJ,2019-06-01,2,1169.000000,11678.310000,244
Retailer C,Brand One,Mint,CO,2019-07-06,2,230.000000,2297.700000,165
Retailer C,Brand One,Classic,OK,2019-05-25,4,324.000000,5180.760000,47
Retailer A,Brand Two,Classic,FL,2019-06-08,2,287.000000,3768.240000,173
Retailer B,Brand One,Flavored,AR,2019-07-20,4,2880.000000,46051.200000,49
Retailer B,Brand Three,Flavored,WY,2019-07-13,2,691.000000,6903.090000,17
Retailer C,Brand One,Classic,OK,2019-06-22,4,319.000000,5100.810000,47
Retailer A,Brand One,Flavored,FL,2019-05-25,4,5529.000000,99453.950000,173
Retailer A,Brand One,Classic,FL,2019-09-14,4,1344.000000,24178.560000,186
Retailer C,Brand One,Mint,NM,2019-07-20,2,119.000000,1424.810000,73
Retailer C,Brand One,Mint,CO,2019-05-18,2,281.000000,2807.190000,167
Retailer B,Brand One,Classic,AR,2019-06-29,4,264.000000,4221.360000,49
Retailer A,Brand One,Classic,NJ,2019-09-07,4,3372.000000,60662.280000,240
Retailer C,Brand One,Classic,CO,2019-05-25,2,449.000000,4485.510000,180
Retailer C,Brand One,Flavored,NM,2019-06-29,2,454.000000,4535.460000,71
Retailer A,Brand One,Mint,MD,2019-05-25,2,104.000000,1246.960000,49
Retailer C,Brand Two,Flavored,CO,2019-07-20,2,399.000000,5382.510000,169
Retailer A,Brand One,Flavored,FL,2019-06-08,2,2366.000000,28368.340000,172
Retailer C,Brand One,Classic,TX,2019-10-05,4,106.000000,1694.940000,70
Retailer C,Brand One,Classic,TX,2019-08-03,2,71.000000,709.290000,65
Retailer A,Brand One,Flavored,FL,2019-08-24,2,2363.000000,28332.370000,184
Retailer C,Brand Two,Mint,NM,2019-05-04,2,91.000000,1227.590000,72
Retailer A,Brand Three,Classic,PA,2019-07-13,2,1448.000000,17361.520000,230
Retailer C,Brand Three,Mint,CO,2019-07-27,2,1336.000000,13346.640000,180
Retailer A,Brand One,Flavored,DE,2019-09-14,2,394.000000,4724.060000,40
Retailer A,Brand One,Mint,FL,2019-08-31,2,299.000000,3585.010000,184
Retailer A,Brand One,Mint,MD,2019-08-31,2,137.000000,1642.630000,50
Retailer C,Brand One,Classic,OK,2019-10-26,2,101.000000,1008.990000,46
Retailer A,Brand Two,Mint,FL,2019-09-07,2,515.000000,6947.350000,187
Retailer A,Brand Three,Flavored,DE,2019-10-12,2,2541.000000,25384.590000,40
Retailer B,Brand Two,Flavored,IA,2019-10-12,2,635.000000,8540.710000,102
Retailer B,Brand One,Classic,CO,2019-12-21,2,570.000000,5694.300000,65
Retailer B,Brand One,Classic,MO,2019-12-07,4,380.000000,6076.200000,68
